Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}3D_Cluster_K5}3D_Cluster_K5_Centroid
base_snapshot_01}475834665.2367109}17694.327364709723}3066579.0}259.0}0.527393965160739}0.30827203787213986}0.4331103678929766}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}0}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_12}400882560.5545877}18878.474606821157}3698622.0}312.0}0.5867339628800202}0.3033802160039684}0.5217391304347826}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_13}354299111.4121312}18130.510388374696}2598399.0}200.0}0.6912660032243727}0.4886168785645043}0.33444816053511706}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}0}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_14}346513475.10721624}18492.941592255585}1896129.0}145.0}0.692945638734927}0.6846306846694522}0.24247491638795987}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}0}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}0}1}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}1}3}[0.6456892563393791, 0.6648561778700712, 0.22575250836120403]
base_snapshot_15}390814864.7256344}19885.15077822271}2738853.0}218.0}0.5713803878817884}0.42024695107972937}0.36454849498327757}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_16}401053403.7411376}18320.8022474467}4962708.0}590.0}0.604336184284928}0.22600780602827075}0.9866220735785953}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_17}400831370.73267585}19009.664210783}4845663.0}508.0}0.5827592052438475}0.23159514853664898}0.8494983277591973}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_18}379875004.0009127}18322.213630692913}4237029.0}430.0}0.6379793642865437}0.2794745170552496}0.7190635451505016}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_19}371451657.1346915}18157.825368002726}4119984.0}397.0}0.6583535118684856}0.293931776080499}0.6638795986622074}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_20}431160136.5942818}17998.933780648375}3089988.0}238.0}0.5721895365371173}0.33763617750646635}0.3979933110367893}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}0}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_21}358300899.2706351}17990.204559862796}2832489.0}216.0}0.6888763767454392}0.44322907176376647}0.3612040133779264}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}0}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
