Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_500_snapshot_01}421465915.66209865}18358.49471964797}4354074.0}500.0}0.8607923794429619}0.9251256464356229}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_12}373830209.01036817}18706.39350678265}4541346.0}500.0}0.9524309102979152}1.0}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_13}522659655.701519}18942.214616614907}4822254.0}500.0}0.6727414859329923}0.6735811500662089}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}1}[0.630321946768449, 0.6359272062347996]}1}[0.6590191894323875, 0.656514763705504, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_14}430189565.15413964}17955.140032635914}4728618.0}500.0}0.8622819054542136}0.8345740605986977}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_15}394104673.40128386}18123.319642655242}5196798.0}500.0}0.9324994964754322}0.8289179879537714}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_16}409096231.92604685}18804.101257340837}4822254.0}500.0}0.8658045834485002}0.8605644943810663}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_17}569582842.0386598}18892.14949489196}4588164.0}500.0}0.6189558461537147}0.649625634291421}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}1}[0.630321946768449, 0.6359272062347996]}1}[0.6590191894323875, 0.656514763705504, 1.0]}4}[0.596151706439704, 0.6114582164527131]}3}[0.596151706439704, 0.6114582164527131, 1.0]
experiment_500_snapshot_18}385415355.4551579}18148.744210406752}4681800.0}500.0}0.9521872191851212}0.9408429052128061}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_19}409945496.32722116}18513.695984631137}4705209.0}500.0}0.8775637869814438}0.8801444331992797}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_20}379124102.88114345}18711.725805809314}4869072.0}500.0}0.9388640299215206}0.9196686722824549}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_21}462789642.97511935}18863.814256399066}4564755.0}500.0}0.7629301860791762}0.8036332201052263}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}3}[0.7817007627739041, 0.7880381580596827]}4}[0.7817007627739041, 0.7880381580596827, 1.0]
experiment_500_snapshot_22}483410420.6144388}17827.30861577504}4447710.0}500.0}0.7728516709679701}0.7895988634017946}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}3}[0.7817007627739041, 0.7880381580596827]}4}[0.7817007627739041, 0.7880381580596827, 1.0]
experiment_500_snapshot_23}437154639.4717407}19050.587588647188}4634982.0}500.0}0.7997504143665041}0.8378684577577102}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}3}[0.7817007627739041, 0.7880381580596827]}4}[0.7817007627739041, 0.7880381580596827, 1.0]
experiment_500_snapshot_24}415473035.6282486}18422.842443454276}4775436.0}500.0}0.870158686560468}0.855663709263809}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
